	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum
Number of genes	76698	30191	157	204
Number of genes in orthogroups	68218	24913	144	191
Number of unassigned genes	8480	5278	13	13
Percentage of genes in orthogroups	88.9	82.5	91.7	93.6
Percentage of unassigned genes	11.1	17.5	8.3	6.4
Number of orthogroups containing species	12167	4898	62	145
Percentage of orthogroups containing species	88.8	35.7	0.5	1.1
Number of species-specific orthogroups	8687	1532	3	3
Number of genes in species-specific orthogroups	57088	15984	31	13
Percentage of genes in species-specific orthogroups	74.4	52.9	19.7	6.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1541	8810	13646	13563
'1	2098	2965	28	122
'2	2888	800	15	15
'3	1775	370	11	3
'4	1196	178	7	2
'5	806	106	0	0
'6	609	81	0	0
'7	452	52	0	2
'8	334	33	0	1
'9	274	31	0	0
'10	220	27	0	0
11-15	697	78	0	0
16-20	343	37	0	0
21-50	421	79	1	0
51-100	39	25	0	0
101-150	10	12	0	0
151-200	2	5	0	0
201-500	3	13	0	0
501-1000	0	5	0	0
'1001+	0	1	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	11.2	64.3	99.5	98.9
'1	15.3	21.6	0.2	0.9
'2	21.1	5.8	0.1	0.1
'3	12.9	2.7	0.1	0.0
'4	8.7	1.3	0.1	0.0
'5	5.9	0.8	0.0	0.0
'6	4.4	0.6	0.0	0.0
'7	3.3	0.4	0.0	0.0
'8	2.4	0.2	0.0	0.0
'9	2.0	0.2	0.0	0.0
'10	1.6	0.2	0.0	0.0
11-15	5.1	0.6	0.0	0.0
16-20	2.5	0.3	0.0	0.0
21-50	3.1	0.6	0.0	0.0
51-100	0.3	0.2	0.0	0.0
101-150	0.1	0.1	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.1	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0
'1	2098	2965	28	122
'2	5776	1600	30	30
'3	5325	1110	33	9
'4	4784	712	28	8
'5	4030	530	0	0
'6	3654	486	0	0
'7	3164	364	0	14
'8	2672	264	0	8
'9	2466	279	0	0
'10	2200	270	0	0
11-15	8754	999	0	0
16-20	6097	662	0	0
21-50	12217	2292	25	0
51-100	2619	1749	0	0
101-150	1154	1425	0	0
151-200	347	846	0	0
201-500	861	3986	0	0
501-1000	0	2828	0	0
'1001+	0	1546	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0
'1	2.7	9.8	17.8	59.8
'2	7.5	5.3	19.1	14.7
'3	6.9	3.7	21.0	4.4
'4	6.2	2.4	17.8	3.9
'5	5.3	1.8	0.0	0.0
'6	4.8	1.6	0.0	0.0
'7	4.1	1.2	0.0	6.9
'8	3.5	0.9	0.0	3.9
'9	3.2	0.9	0.0	0.0
'10	2.9	0.9	0.0	0.0
11-15	11.4	3.3	0.0	0.0
16-20	7.9	2.2	0.0	0.0
21-50	15.9	7.6	15.9	0.0
51-100	3.4	5.8	0.0	0.0
101-150	1.5	4.7	0.0	0.0
151-200	0.5	2.8	0.0	0.0
201-500	1.1	13.2	0.0	0.0
501-1000	0.0	9.4	0.0	0.0
'1001+	0.0	5.1	0.0	0.0
