Orthogroup	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum	Total
OG0000000	1	1546	0	0	1547
OG0000001	0	720	0	0	720
OG0000002	0	537	0	0	537
OG0000003	1	527	0	0	528
OG0000004	0	523	0	0	523
OG0000005	0	521	0	0	521
OG0000006	0	444	0	0	444
OG0000007	0	383	0	0	383
OG0000008	0	375	0	0	375
OG0000009	3	359	0	0	362
OG0000010	347	1	0	0	348
OG0000011	0	340	0	0	340
OG0000012	0	330	0	0	330
OG0000013	0	324	0	0	324
OG0000014	311	1	0	0	312
OG0000015	0	295	0	0	295
OG0000016	0	254	0	0	254
OG0000017	0	242	0	0	242
OG0000018	0	219	0	0	219
OG0000019	0	214	0	0	214
OG0000020	1	207	0	0	208
OG0000021	203	3	0	0	206
OG0000022	0	189	0	0	189
OG0000023	187	0	0	0	187
OG0000024	1	177	0	0	178
OG0000025	0	164	0	0	164
OG0000026	0	161	0	0	161
OG0000027	160	0	0	0	160
OG0000028	0	155	0	0	155
OG0000029	142	0	0	0	142
OG0000030	138	0	0	0	138
OG0000031	0	137	0	0	137
OG0000032	0	137	0	0	137
OG0000033	0	129	0	0	129
OG0000034	0	128	0	0	128
OG0000035	124	0	0	0	124
OG0000036	2	121	0	0	123
OG0000037	117	0	0	0	117
OG0000038	2	115	0	0	117
OG0000039	0	117	0	0	117
OG0000040	114	0	0	0	114
OG0000041	1	112	0	0	113
OG0000042	0	111	0	0	111
OG0000043	0	110	0	0	110
OG0000044	108	0	0	0	108
OG0000045	1	104	0	0	105
OG0000046	1	104	0	0	105
OG0000047	104	0	0	0	104
OG0000048	103	0	0	0	103
OG0000049	103	0	0	0	103
OG0000050	101	0	0	0	101
OG0000051	1	100	0	0	101
OG0000052	0	97	0	0	97
OG0000053	93	0	0	0	93
OG0000054	93	0	0	0	93
OG0000055	6	79	0	0	85
OG0000056	0	85	0	0	85
OG0000057	0	85	0	0	85
OG0000058	84	0	0	0	84
OG0000059	83	0	0	0	83
OG0000060	82	0	0	0	82
OG0000061	0	82	0	0	82
OG0000062	81	0	0	0	81
OG0000063	0	81	0	0	81
OG0000064	80	0	0	0	80
OG0000065	79	0	0	0	79
OG0000066	79	0	0	0	79
OG0000067	0	79	0	0	79
OG0000068	72	6	0	0	78
OG0000069	76	1	0	0	77
OG0000070	0	77	0	0	77
OG0000071	75	0	0	0	75
OG0000072	75	0	0	0	75
OG0000073	75	0	0	0	75
OG0000074	74	0	0	0	74
OG0000075	1	73	0	0	74
OG0000076	0	73	0	0	73
OG0000077	0	72	0	0	72
OG0000078	69	0	0	0	69
OG0000079	69	0	0	0	69
OG0000080	67	0	0	0	67
OG0000081	1	66	0	0	67
OG0000082	66	0	0	0	66
OG0000083	66	0	0	0	66
OG0000084	0	66	0	0	66
OG0000085	65	0	0	0	65
OG0000086	3	62	0	0	65
OG0000087	62	0	0	0	62
OG0000088	0	61	0	0	61
OG0000089	60	0	0	0	60
OG0000090	0	60	0	0	60
OG0000091	0	60	0	0	60
OG0000092	0	60	0	0	60
OG0000093	59	0	0	0	59
OG0000094	58	1	0	0	59
OG0000095	59	0	0	0	59
OG0000096	0	59	0	0	59
OG0000097	58	0	0	0	58
OG0000098	0	58	0	0	58
OG0000099	57	0	0	0	57
OG0000100	57	0	0	0	57
OG0000101	57	0	0	0	57
OG0000102	21	36	0	0	57
OG0000103	57	0	0	0	57
OG0000104	56	0	0	0	56
OG0000105	56	0	0	0	56
OG0000106	0	56	0	0	56
OG0000107	55	0	0	0	55
OG0000108	54	0	0	0	54
OG0000109	54	0	0	0	54
OG0000110	0	54	0	0	54
OG0000111	53	0	0	0	53
OG0000112	53	0	0	0	53
OG0000113	0	52	0	0	52
OG0000114	0	52	0	0	52
OG0000115	51	0	0	0	51
OG0000116	48	1	0	1	50
OG0000117	50	0	0	0	50
OG0000118	50	0	0	0	50
OG0000119	50	0	0	0	50
OG0000120	50	0	0	0	50
OG0000121	50	0	0	0	50
OG0000122	50	0	0	0	50
OG0000123	49	0	0	0	49
OG0000124	48	0	0	0	48
OG0000125	48	0	0	0	48
OG0000126	48	0	0	0	48
OG0000127	48	0	0	0	48
OG0000128	0	48	0	0	48
OG0000129	47	0	0	0	47
OG0000130	47	0	0	0	47
OG0000131	47	0	0	0	47
OG0000132	0	47	0	0	47
OG0000133	46	0	0	0	46
OG0000134	43	3	0	0	46
OG0000135	46	0	0	0	46
OG0000136	0	46	0	0	46
OG0000137	45	0	0	0	45
OG0000138	45	0	0	0	45
OG0000139	45	0	0	0	45
OG0000140	45	0	0	0	45
OG0000141	45	0	0	0	45
OG0000142	45	0	0	0	45
OG0000143	45	0	0	0	45
OG0000144	44	0	0	0	44
OG0000145	44	0	0	0	44
OG0000146	44	0	0	0	44
OG0000147	44	0	0	0	44
OG0000148	44	0	0	0	44
OG0000149	43	0	0	0	43
OG0000150	42	1	0	0	43
OG0000151	43	0	0	0	43
OG0000152	42	1	0	0	43
OG0000153	43	0	0	0	43
OG0000154	43	0	0	0	43
OG0000155	43	0	0	0	43
OG0000156	43	0	0	0	43
OG0000157	43	0	0	0	43
OG0000158	43	0	0	0	43
OG0000159	42	0	0	0	42
OG0000160	42	0	0	0	42
OG0000161	42	0	0	0	42
OG0000162	42	0	0	0	42
OG0000163	42	0	0	0	42
OG0000164	41	1	0	0	42
OG0000165	0	42	0	0	42
OG0000166	41	0	0	0	41
OG0000167	41	0	0	0	41
OG0000168	41	0	0	0	41
OG0000169	41	0	0	0	41
OG0000170	41	0	0	0	41
OG0000171	0	41	0	0	41
OG0000172	34	5	1	0	40
OG0000173	36	4	0	0	40
OG0000174	40	0	0	0	40
OG0000175	39	1	0	0	40
OG0000176	40	0	0	0	40
OG0000177	1	39	0	0	40
OG0000178	0	40	0	0	40
OG0000179	39	0	0	0	39
OG0000180	39	0	0	0	39
OG0000181	38	1	0	0	39
OG0000182	39	0	0	0	39
OG0000183	38	1	0	0	39
OG0000184	39	0	0	0	39
OG0000185	0	39	0	0	39
OG0000186	0	39	0	0	39
OG0000187	0	39	0	0	39
OG0000188	0	39	0	0	39
OG0000189	38	0	0	0	38
OG0000190	38	0	0	0	38
OG0000191	38	0	0	0	38
OG0000192	38	0	0	0	38
OG0000193	38	0	0	0	38
OG0000194	38	0	0	0	38
OG0000195	1	37	0	0	38
OG0000196	0	38	0	0	38
OG0000197	37	0	0	0	37
OG0000198	37	0	0	0	37
OG0000199	35	2	0	0	37
OG0000200	34	3	0	0	37
OG0000201	37	0	0	0	37
OG0000202	37	0	0	0	37
OG0000203	37	0	0	0	37
OG0000204	37	0	0	0	37
OG0000205	34	2	0	1	37
OG0000206	37	0	0	0	37
OG0000207	37	0	0	0	37
OG0000208	37	0	0	0	37
OG0000209	0	37	0	0	37
OG0000210	0	37	0	0	37
OG0000211	0	37	0	0	37
OG0000212	0	37	0	0	37
OG0000213	35	1	0	0	36
OG0000214	35	1	0	0	36
OG0000215	36	0	0	0	36
OG0000216	35	0	0	0	35
OG0000217	35	0	0	0	35
OG0000218	35	0	0	0	35
OG0000219	35	0	0	0	35
OG0000220	35	0	0	0	35
OG0000221	35	0	0	0	35
OG0000222	35	0	0	0	35
OG0000223	35	0	0	0	35
OG0000224	1	31	3	0	35
OG0000225	0	35	0	0	35
OG0000226	0	35	0	0	35
OG0000227	34	0	0	0	34
OG0000228	34	0	0	0	34
OG0000229	34	0	0	0	34
OG0000230	34	0	0	0	34
OG0000231	34	0	0	0	34
OG0000232	32	2	0	0	34
OG0000233	0	34	0	0	34
OG0000234	0	34	0	0	34
OG0000235	29	3	0	1	33
OG0000236	33	0	0	0	33
OG0000237	33	0	0	0	33
OG0000238	33	0	0	0	33
OG0000239	33	0	0	0	33
OG0000240	33	0	0	0	33
OG0000241	33	0	0	0	33
OG0000242	33	0	0	0	33
OG0000243	33	0	0	0	33
OG0000244	33	0	0	0	33
OG0000245	33	0	0	0	33
OG0000246	33	0	0	0	33
OG0000247	33	0	0	0	33
OG0000248	33	0	0	0	33
OG0000249	31	2	0	0	33
OG0000250	4	25	4	0	33
OG0000251	32	0	0	0	32
OG0000252	32	0	0	0	32
OG0000253	32	0	0	0	32
OG0000254	32	0	0	0	32
OG0000255	32	0	0	0	32
OG0000256	32	0	0	0	32
OG0000257	32	0	0	0	32
OG0000258	32	0	0	0	32
OG0000259	32	0	0	0	32
OG0000260	32	0	0	0	32
OG0000261	32	0	0	0	32
OG0000262	32	0	0	0	32
OG0000263	30	2	0	0	32
OG0000264	31	1	0	0	32
OG0000265	32	0	0	0	32
OG0000266	32	0	0	0	32
OG0000267	31	1	0	0	32
OG0000268	1	31	0	0	32
OG0000269	2	26	4	0	32
OG0000270	0	32	0	0	32
OG0000271	30	1	0	0	31
OG0000272	30	1	0	0	31
OG0000273	31	0	0	0	31
OG0000274	31	0	0	0	31
OG0000275	31	0	0	0	31
OG0000276	31	0	0	0	31
OG0000277	31	0	0	0	31
OG0000278	0	31	0	0	31
OG0000279	0	31	0	0	31
OG0000280	30	0	0	0	30
OG0000281	27	1	0	2	30
OG0000282	30	0	0	0	30
OG0000283	30	0	0	0	30
OG0000284	30	0	0	0	30
OG0000285	28	1	0	1	30
OG0000286	30	0	0	0	30
OG0000287	30	0	0	0	30
OG0000288	30	0	0	0	30
OG0000289	30	0	0	0	30
OG0000290	30	0	0	0	30
OG0000291	29	1	0	0	30
OG0000292	30	0	0	0	30
OG0000293	29	1	0	0	30
OG0000294	30	0	0	0	30
OG0000295	29	1	0	0	30
OG0000296	30	0	0	0	30
OG0000297	30	0	0	0	30
OG0000298	3	25	2	0	30
OG0000299	30	0	0	0	30
OG0000300	30	0	0	0	30
OG0000301	30	0	0	0	30
OG0000302	0	30	0	0	30
OG0000303	29	0	0	0	29
OG0000304	29	0	0	0	29
OG0000305	28	1	0	0	29
OG0000306	29	0	0	0	29
OG0000307	28	1	0	0	29
OG0000308	28	1	0	0	29
OG0000309	29	0	0	0	29
OG0000310	29	0	0	0	29
OG0000311	29	0	0	0	29
OG0000312	28	1	0	0	29
OG0000313	26	1	0	2	29
OG0000314	29	0	0	0	29
OG0000315	29	0	0	0	29
OG0000316	28	1	0	0	29
OG0000317	29	0	0	0	29
OG0000318	29	0	0	0	29
OG0000319	29	0	0	0	29
OG0000320	29	0	0	0	29
OG0000321	29	0	0	0	29
OG0000322	29	0	0	0	29
OG0000323	29	0	0	0	29
OG0000324	28	1	0	0	29
OG0000325	29	0	0	0	29
OG0000326	29	0	0	0	29
OG0000327	1	25	2	1	29
OG0000328	1	25	3	0	29
OG0000329	1	25	3	0	29
OG0000330	1	25	3	0	29
OG0000331	1	25	3	0	29
OG0000332	0	29	0	0	29
OG0000333	28	0	0	0	28
OG0000334	28	0	0	0	28
OG0000335	28	0	0	0	28
OG0000336	28	0	0	0	28
OG0000337	28	0	0	0	28
OG0000338	27	1	0	0	28
OG0000339	28	0	0	0	28
OG0000340	28	0	0	0	28
OG0000341	28	0	0	0	28
OG0000342	28	0	0	0	28
OG0000343	28	0	0	0	28
OG0000344	28	0	0	0	28
OG0000345	28	0	0	0	28
OG0000346	28	0	0	0	28
OG0000347	28	0	0	0	28
OG0000348	28	0	0	0	28
OG0000349	28	0	0	0	28
OG0000350	28	0	0	0	28
OG0000351	28	0	0	0	28
OG0000352	2	25	1	0	28
OG0000353	28	0	0	0	28
OG0000354	28	0	0	0	28
OG0000355	1	27	0	0	28
OG0000356	1	25	2	0	28
OG0000357	1	25	2	0	28
OG0000358	1	25	2	0	28
OG0000359	1	24	3	0	28
OG0000360	0	28	0	0	28
OG0000361	0	28	0	0	28
OG0000362	0	28	0	0	28
OG0000363	27	0	0	0	27
OG0000364	27	0	0	0	27
OG0000365	26	1	0	0	27
OG0000366	27	0	0	0	27
OG0000367	27	0	0	0	27
OG0000368	27	0	0	0	27
OG0000369	24	3	0	0	27
OG0000370	26	1	0	0	27
OG0000371	26	1	0	0	27
OG0000372	23	4	0	0	27
OG0000373	26	1	0	0	27
OG0000374	27	0	0	0	27
OG0000375	26	1	0	0	27
OG0000376	26	1	0	0	27
OG0000377	27	0	0	0	27
OG0000378	27	0	0	0	27
OG0000379	27	0	0	0	27
OG0000380	23	2	0	2	27
OG0000381	27	0	0	0	27
OG0000382	27	0	0	0	27
OG0000383	27	0	0	0	27
OG0000384	1	25	1	0	27
OG0000385	1	25	1	0	27
OG0000386	0	27	0	0	27
OG0000387	0	27	0	0	27
OG0000388	0	27	0	0	27
OG0000389	26	0	0	0	26
OG0000390	26	0	0	0	26
OG0000391	25	1	0	0	26
OG0000392	26	0	0	0	26
OG0000393	26	0	0	0	26
OG0000394	26	0	0	0	26
OG0000395	26	0	0	0	26
OG0000396	26	0	0	0	26
OG0000397	26	0	0	0	26
OG0000398	25	1	0	0	26
OG0000399	26	0	0	0	26
OG0000400	26	0	0	0	26
OG0000401	26	0	0	0	26
OG0000402	25	1	0	0	26
OG0000403	26	0	0	0	26
OG0000404	26	0	0	0	26
OG0000405	25	1	0	0	26
OG0000406	25	1	0	0	26
OG0000407	26	0	0	0	26
OG0000408	26	0	0	0	26
OG0000409	26	0	0	0	26
OG0000410	26	0	0	0	26
OG0000411	1	25	0	0	26
OG0000412	1	25	0	0	26
OG0000413	26	0	0	0	26
OG0000414	26	0	0	0	26
OG0000415	1	25	0	0	26
OG0000416	0	26	0	0	26
OG0000417	0	26	0	0	26
OG0000418	0	26	0	0	26
OG0000419	25	0	0	0	25
OG0000420	25	0	0	0	25
OG0000421	25	0	0	0	25
OG0000422	25	0	0	0	25
OG0000423	25	0	0	0	25
OG0000424	25	0	0	0	25
OG0000425	24	1	0	0	25
OG0000426	25	0	0	0	25
OG0000427	25	0	0	0	25
OG0000428	25	0	0	0	25
OG0000429	25	0	0	0	25
OG0000430	25	0	0	0	25
OG0000431	25	0	0	0	25
